carname,price,milage,hubraum,fuel_type,transmission,num_seats,num_doors,emission_class,car_type,num_owners,Model,power_ps,age
Mercedes-Benz E350d 4Matic Cabrio AMG-Paket/Wides/Burm./HeatUp,31880.0,112179.0,1.95,Diesel,Automatik,5,4/5,Euro6,kombi,1,E-Klasse,194.0,4.41333333333326
Mercedes-Benz MANHART GLR 700,46990.0,69975.0,2.987,Diesel,Automatik,5,4/5,Euro6,kombi,1,GL,258.0,3.4966666666665938
Mercedes-Benz E 220d T 4Matic ACC*AHK*HeadUp*Kamera*el.SD*Navi,37990.0,120925.0,2.143,Diesel,Automatik,8,4/5,Euro6,andere,2,E-Klasse,163.0,3.5799999999999272
Mercedes-Benz E 200 d T Aut. Navi Kamera PDC originalfarbe,42770.0,79171.0,3.498,Benzin,Automatik,5,4/5,Euro6,kombi,1,E-Klasse,333.0,3.1633333333332607
"Mercedes-Benz C -Klasse Cabrio C 63 AMG S, Traumausstattung!",49999.0,94000.0,2.987,Diesel,Automatik,4,2/3,Euro6,cabrio,1,C-Klasse,258.0,3.2466666666665938
"Mercedes-Benz 314 CDI 36*L2H2*Mbux*Rückf.-Kam.*AHK 3,5 t*",36800.0,125000.0,2.143,Diesel,Automatik,5,4/5,Euro6c,suv,1,OTHER,204.0,2.7466666666665938
Mercedes-Benz GLA 250 -AMG Paket-Kamera-LED-Panoramadach,29890.0,135000.0,1.95,Diesel,Automatik,5,4/5,Euro6,kombi,1,GLA,194.0,3.4966666666665938
Mercedes-Benz B 200 d 4Matic 7G Leder GRA Navi Kamera Keyless,36289.0,24900.0,2.143,Diesel,Schaltgetriebe,3,4/5,Euro6,van,1,B-Klasse,143.0,1.4133333333332605
Mercedes-Benz E 220 d 4MATIC 9G-TRONIC Avantgarde EU6c/RFK/...,44990.0,86000.0,2.996,Benzin,Automatik,5,4/5,Euro6,suv,1,E-Klasse,333.0,3.1633333333332607
Mercedes-Benz Mercedes X250 4Matic Power Edition Navi/Le...,36289.0,24900.0,2.143,Diesel,Schaltgetriebe,3,4/5,Euro6,van,1,OTHER,143.0,1.4133333333332605
Mercedes-Benz A -Klasse A 180 BlueEfficiency//AMG//ALCANTARA//,44990.0,86000.0,2.996,Benzin,Automatik,5,4/5,Euro6,suv,1,A-Klasse,333.0,3.1633333333332607
Mercedes-Benz E -Klasse Lim. E 43 AMG 4Matic!,26900.0,64000.0,1.991,Benzin,Schaltgetriebe,5,4/5,Euro6,limousine,1,E-Klasse,211.0,4.41333333333326
Mercedes-Benz CLS 350 d 4Matic AMG Line*Aut.* Brumester*Multib,15900.0,163870.0,2.143,Diesel,Automatik,5,4/5,Euro6,limousine,1,CL,136.0,3.9133333333332607
Mercedes-Benz E 220 d AMG NIGHT LED BURMESTER,72888.0,10000.0,1.95,Diesel,Automatik,6,4/5,Euro6,van,1,E-Klasse,239.0,0.7466666666665939
Mercedes-Benz C 220 d T Auto. Navi Distronic LED Park-Assist..,44500.0,90639.0,2.143,Diesel,Automatik,5,4/5,Euro6,sport,1,C-Klasse,204.0,4.579999999999927
